Ranking,District,State,Population,Growth,Sex_Ratio,Literacy,Store_Score
1,Thane,Maharashtra,11060148,36.01,886,84.53,0.748
2,North Twenty Four Parganas,West Bengal,10009781,12.04,955,84.06,0.661
3,Bangalore,Karnataka,9621551,47.18,916,87.67,0.733
4,Pune,Maharashtra,9429408,30.37,915,86.15,0.685
5,Mumbai Suburban,Maharashtra,9356962,8.29,860,89.91,0.658
6,South Twenty Four Parganas,West Bengal,8161961,18.17,956,77.51,0.574
7,Barddhaman,West Bengal,7717563,11.92,945,76.21,0.539
8,Ahmadabad,Gujarat,7214225,24.03,904,85.31,0.589
9,Murshidabad,West Bengal,7103807,21.09,958,66.59,0.488
10,Jaipur,Rajasthan,6626178,26.19,910,75.51,0.524
11,Nashik,Maharashtra,6107187,22.3,934,82.31,0.531
12,Surat,Gujarat,6081322,42.24,787,85.53,0.585
13,Allahabad,Uttar Pradesh,5954391,20.63,901,72.32,0.474
14,Paschim Medinipur,West Bengal,5913457,13.86,966,78.0,0.486
15,Patna,Bihar,5838465,23.73,897,70.68,0.467
16,Hugli,West Bengal,5519145,9.46,961,81.8,0.482
17,Rangareddy,Andhra Pradesh,5296741,48.16,961,75.87,0.521
18,Nadia,West Bengal,5167600,12.22,947,74.97,0.441
19,East Godavari,Andhra Pradesh,5154296,5.16,1006,70.99,0.408
20,Purbi Champaran,Bihar,5099371,29.43,902,55.79,0.38
21,Purba Medinipur,West Bengal,5095875,15.36,938,87.02,0.504
22,Guntur,Andhra Pradesh,4887813,9.47,1003,67.4,0.389
23,Haora,West Bengal,4850029,13.5,939,83.31,0.473
24,Muzaffarpur,Bihar,4801062,28.14,900,63.43,0.403
25,Belgaum,Karnataka,4779661,13.41,973,73.48,0.423
26,Moradabad,Uttar Pradesh,4772006,25.22,906,56.77,0.364
27,Ghaziabad,Uttar Pradesh,4681645,42.27,881,78.07,0.498
28,Nagpur,Maharashtra,4653570,14.4,951,88.39,0.492
29,Chennai,Tamil Nadu,4646732,6.98,989,90.18,0.486
30,Azamgarh,Uttar Pradesh,4613913,17.11,1019,70.93,0.411
31,Lucknow,Uttar Pradesh,4589838,25.82,917,77.29,0.458
32,Kanpur Nagar,Uttar Pradesh,4581268,9.92,862,79.65,0.438
33,Ahmadnagar,Maharashtra,4543159,12.44,939,79.05,0.439
34,Krishna,Andhra Pradesh,4517398,7.87,992,73.74,0.403
35,Kolkata,West Bengal,4496694,-1.67,908,86.31,0.445
36,Jaunpur,Uttar Pradesh,4494204,14.89,1024,71.55,0.406
37,Madhubani,Bihar,4487379,25.51,926,58.62,0.364
38,Sitapur,Uttar Pradesh,4483992,23.88,888,61.12,0.372
39,Bareilly,Uttar Pradesh,4448359,22.93,887,58.49,0.356
40,Gorakhpur,Uttar Pradesh,4440895,17.81,950,70.83,0.406
41,Agra,Uttar Pradesh,4418797,22.05,868,71.58,0.417
42,Gaya,Bihar,4391418,26.43,937,63.67,0.386
